ภาค,จังหวัด,รายการ,รายการย่อย,ประเภทผู้เยี่ยมเยือน,2554,2555,2556,2557,2558,2559,2560,2561,2562,2563,2564,2565
,,,จำนวนนักท่องเที่ยว,รวม,"  1,028,297 ","  1,387,972 ","  1,393,257 ","  1,485,458 ","  1,548,608 ","  1,582,905 ","  1,637,181 ","  1,723,710 ","  1,691,483 ","  773,276 ","  455,788 ","  1,252,594 "
,,,,ชาวไทย,"  851,323 ","  1,068,100 ","  1,073,412 ","  1,142,119 ","  1,205,428 ","  1,237,790 ","  1,281,574 ","  1,354,163 ","  1,325,572 ","  714,663 ","  453,323 ","  1,208,440 "
,,,,ชาวต่างประเทศ,"  176,974 ","  319,872 ","  319,845 ","  343,339 ","  343,180 ","  345,115 ","  355,607 ","  369,547 ","  365,911 ","  58,613 ","  2,465 ","  44,154 "
,,,จำนวนนักทัศนาจร,รวม,"  3,862,652 ","  4,678,573 ","  4,833,167 ","  5,213,103 ","  5,445,930 ","  5,633,609 ","  5,994,376 ","  6,625,903 ","  6,601,326 ","  2,719,354 ","  1,935,690 ","  6,680,964 "
,,,,ชาวไทย,"  3,116,176 ","  3,422,061 ","  3,496,373 ","  3,760,655 ","  3,983,612 ","  4,127,796 ","  4,401,995 ","  4,948,458 ","  4,857,605 ","  2,527,945 ","  1,924,585 ","  6,398,838 "
,,,,ชาวต่างประเทศ,"  746,476 ","  1,256,512 ","  1,336,794 ","  1,452,448 ","  1,462,318 ","  1,505,813 ","  1,592,381 ","  1,677,445 ","  1,743,721 ","  191,409 ","  11,105 ","  282,126 "
,,รายได้การท่องเที่ยว (ล้านบาท),ผู้เยี่ยมเยือน,รวม,"  7,823.28 ","  11,569.24 ","  12,235.03 ","  13,446.66 ","  14,485.17 ","  15,309.69 ","  16,901.48 ","  19,016.22 ","  19,153.92 ","  6,380.63 ","  4,020.57 ","  12,746.41 "
,,,,ชาวไทย,"  5,759.82 ","  7,642.00 ","  8,170.42 ","  9,013.07 ","  9,752.11 ","  10,379.51 ","  11,423.00 ","  12,997.90 ","  12,988.61 ","  5,796.01 ","  3,991.15 ","  11,995.36 "
,,,,ชาวต่างประเทศ,"  2,063.46 ","  3,927.24 ","  4,064.61 ","  4,433.59 ","  4,733.06 ","  4,930.18 ","  5,478.48 ","  6,018.32 ","  6,165.31 ",  584.62 ,  29.42 ,  751.05 
,อ่างทอง,จำนวนผู้เยี่ยมเยือน,รวม,รวม,"  304,335 ","  518,293 ","  557,238 ","  615,604 ","  734,058 ","  730,502 ","  775,367 ","  816,632 ","  828,556 ","  391,290 ","  261,820 ","  675,232 "
,,,,ชาวไทย,"  304,032 ","  499,247 ","  536,290 ","  591,935 ","  705,125 ","  701,277 ","  744,057 ","  783,962 ","  796,444 ","  382,667 ","  261,509 ","  674,563 "
,,,,ชาวต่างประเทศ,  303 ,"  19,046 ","  20,948 ","  23,669 ","  28,933 ","  29,225 ","  31,310 ","  32,670 ","  32,112 ","  8,623 ",  311 ,  669 
,,,จำนวนนักท่องเที่ยว,รวม,"  137,323 ","  203,667 ","  219,256 ","  239,724 ","  282,485 ","  267,279 ","  277,530 ","  285,797 ","  292,560 ","  103,423 ","  52,938 ","  134,868 "
,,,,ชาวไทย,"  137,158 ","  203,202 ","  218,592 ","  238,996 ","  281,621 ","  266,495 ","  276,701 ","  284,928 ","  291,633 ","  103,147 ","  52,913 ","  134,666 "
,,,,ชาวต่างประเทศ,  165 ,  465 ,  664 ,  728 ,  864 ,  784 ,  829 ,  869 ,  927 ,  276 ,  25 ,  202 
